Full File Path,Site Location,Date,Camera
Camera/AD_28_02_2020_C17_S22.7z,Asylum Down,28_02_2020,C17
Camera/AD_03_05_2019_C14_S45.7z,Asylum Down,03_05_2019,C14
Camera/LA_20_09_2019_C16_S52.7z,Labadi,20_09_2019,C16
Camera/Nima_22_11_2019_C2_S11.7z,Nima,22_11_2019,C2
Camera/AD_23_08_2019_C4_S110.7z,Asylum Down,23_08_2019,C4
Camera/EL_27_05_2019_C18_S9.7z,East Legon,27_05_2019,C18
Camera/AD_31_01_2020_C17_S34.7z,Asylum Down,31_01_2020,C17
Camera/Nima_02_08_2019_C27_S36.7z,Nima,02_08_2019,C27
Camera/TMW_30_09_2019_C19_S11.7z,Tema Motorway,30_09_2019,C19
Camera/Taifa_01_11_2019_C32_S44.7z,Taifa,01_11_2019,C32
Camera/Nima_05_07_2019_C2_S28.7z,Nima,05_07_2019,C2
Camera/UGH_02_09_2019_C25_S14.7z,University of Ghana,02_09_2019,C25
Camera/TMW_29_04_2019_C30_S30.7z,Tema Motorway,29_04_2019,C30
Camera/JT_03_05_2019_C11_S15.7z,Jamestown,03_05_2019,C11
Camera/Taifa_21_06_2019_C21_S45.7z,Taifa,21_06_2019,C21
Camera/AD_13_09_2019_C4_S110.7z,Asylum Down,13_09_2019,C4
Camera/EL_17_06_2019_C8_S18.7z,East Legon,17_06_2019,C8
Camera/JT_31_05_2019_C11_S45.7z,Jamestown,31_05_2019,C11
Camera/AD_03_05_2019_C17_S30.7z,Asylum Down,03_05_2019,C17
Camera/TMW_17_06_2019_C30_S9.7z,Tema Motorway,17_06_2019,C30
Camera/TMW_13_05_2019_C30_S34.7z,Tema Motorway,13_05_2019,C30
Camera/UGH_22_07_2019_C25_S8.7z,University of Ghana,22_07_2019,C25
Camera/EL_12_08_2019_C12_S17.7z,East Legon,12_08_2019,C12
Camera/TMW_16_12_2019_C30_S34.7z,Tema Motorway,16_12_2019,C30
Camera/ASH_29_07_2019_C6_S18.7z,Ashaiman,29_07_2019,C6
Camera/TMW_18_11_2019_C19_S110.7z,Tema Motorway,18_11_2019,C19
Camera/LA_13_12_2019_C16_S11.7z,Labadi,13_12_2019,C16
Camera/JT_28_06_2019_C31_S34.7z,Jamestown,28_06_2019,C31
Camera/Nima_26_07_2019_C2_S63.7z,Nima,26_07_2019,C2
Camera/LA_08_11_2019_C16_S5.7z,Labadi,08_11_2019,C16
Camera/TMW_17_02_2020_C19_S5.7z,Tema Motorway,17_02_2020,C19
Camera/EL_23_12_2019_C12_S46.7z,East Legon,23_12_2019,C12
Camera/EL_20_05_2019_C28_S45.7z,East Legon,20_05_2019,C28
Camera/TMW_24_06_2019_C30_s30.7z,Tema Motorway,24_06_2019,C30
Camera/JT_23_08_2019_C31_S26.7z,Jamestown,23_08_2019,C31
Camera/UGH_16_09_2019_C33_S41.7z,University of Ghana,16_09_2019,C33
Camera/EL_04_11_2019_C32_S34.7z,East Legon,04_11_2019,C32
Camera/UGH_02_09_2019_C33_S17.7z,University of Ghana,02_09_2019,C33
Camera/LA_04_10_2019_C16_S8.7z,Labadi,04_10_2019,C16
Camera/N1West_29_03_2020_C36_S22.7z,N1 West Motorway,29_03_2020,C36
Camera/N1West_02_09_2019_C15_S8.7z,N1 West Motorway,02_09_2019,C15
Camera/UGH_17_02_2020_C25_S30.7z,University of Ghana,17_02_2020,C25
Camera/AD_20_03_2020_C4_S21.7z,Asylum Down,20_03_2020,C4
Camera/Taifa_27_03_2020_C22_S9.7z,Taifa,27_03_2020,C22
